sample	total	protocol	CHR13	post.t13	BF.13	factor.13	CHR18	post.t18	BF.18	factor.18	CHR21	post.t21	BF.21	factor.21	post.13	post.18	post.21
Individual_86	118871	Protocol_2	0.03783092596175686	8.536184463365321e-92	-209.69351443163876	1.062974390991604	0.028888458917650225	1.3737753685429013e-109	-250.66421244314856	1.0171081510348716	0.012408409115764147	1.3456835341031116e-67	-153.97629914284494	0.9471199754398373	1	1	1
Individual_87	1490	Protocol_2	0.03959731543624161	1.6080197267960196e-6	-13.340505511353758	1.112606450693037	0.024161073825503355	1.9504674912904507e-7	-15.45002637294542	0.8506658384141186	0.014093959731543624	4.0472674118242327e-4	-7.811893623043739	1.0757761668118244	0.9999983919802734	0.9999998049532509	0.9995952732588175
Individual_89	6174	Protocol_7	0.040006478781988986	5.548196975067281e-10	-21.312377923766025	1.1241031335577805	0.027372853903466148	3.465179073714947e-13	-28.690841896889967	0.9637465571170284	0.014091350826044704	8.398839802183708e-6	-11.687408581566865	1.0755770319760039	0.9999999994451807	0.9999999999996536	0.9999916011601977
Individual_90	2875	Protocol_5	0.03130434782608696	1.294036222894781e-9	-20.465499647001952	0.8795904202678632	0.024695652173913042	4.489210707226205e-9	-19.22158893519222	0.8694873337761314	0.011478260869565217	5.5589981093663175e-6	-12.100087103082638	0.8761228011948224	0.9999999987059636	0.9999999955107892	0.9999944410018907
Individual_93	29456	Protocol_2	0.03910917979359044	2.665405511411626e-36	-81.91270713986275	1.0988908020728325	0.029128191200434545	2.5810634970090353e-37	-84.24744691863756	1.0255486725449046	0.013851167843563281	5.778800832974002e-15	-32.784580202094524	1.0572441338303529	1	1	0.9999999999999938
Individual_100	34231	Protocol_2	0.03794805877713184	1.5970296833528825e-45	-103.14818372872584	1.0662655920373891	0.0302357512196547	6.472382276366708e-36	-81.0255191035861	1.0645437718169146	0.012853845929128568	2.1123120672097664e-22	-49.90908893184476	0.9811196686960609	1	1	1
Individual_101	64188	Protocol_7	0.036361936810618806	2.953551018808083e-43	-97.92815081711139	1.0216986936987924	0.028432105689536986	1.5884559144256282e-61	-139.99492825125284	1.0010408146155703	0.01332024677509815	1.0076572580876337e-31	-71.3725097927252	1.016719523089855	1	1	1
Individual_102	58244	Protocol_7	0.03586635533273814	4.839807983006352e-44	-99.73686904472903	1.0077738317969334	0.028449282329510335	1.062230561383855e-57	-131.18697930028915	1.0016455717116164	0.013666643774466039	3.026037199919245e-26	-58.759958509124566	1.0431596182279934	1	1	1
Individual_103	6011	Protocol_7	0.03360505739477624	5.498483326577919e-16	-35.13688919249877	0.9442358205707341	0.03460322741640326	2.1359526788557403e-5	-10.753991338456533	1.2183143710664874	0.012809848610880054	4.189798849882686e-7	-14.685442506384584	0.9777614026532359	0.9999999999999991	0.9999786404732118	0.9999995810201149
Individual_105	447101	Protocol_7	0.037494883706366125	5.800993089005424e-53	-120.27898080354659	1.0535322665209392	0.029150013084291916	3.762731690062552e-126	-288.8005765103165	1.0263169799165623	0.013086528547241004	1.269516089326985e-123	-282.97933064243426	0.9988800724267818	1	1	1
